MishearID,Src,Tgt,Tips,Note,OriginalFlag,DocID,URL,SpeakerID,ListenerID,Language,Tags,Envs
www_1101_com_m_iimatugai_674_html_001,中央フリーウェイ,昭和基地を追い越し,南極の基地と間違えないように,ユーミンの歌を歌っていて「昭和基地を追い越し」と歌ってしまった。,True,www_1101_com_m_iimatugai_674_html,N/A,じゅんこ,不明,日本語,"['歌詞', '聞き間違い', '家庭', '日本語']","['家庭', '歌唱', 'ノイズなし']"
www_1101_com_m_iimatugai_674_html_002,振り子細工の心,クロコダイルの心,歌詞をよく確認しよう,村下孝蔵『初恋』を母が「クロコダイルの心」と歌っていた。,True,www_1101_com_m_iimatugai_674_html,N/A,よしぼう母,よしぼう,日本語,"['歌詞', '聞き間違い', '家庭', '日本語']","['家庭', '歌唱', 'ノイズなし']"
www_1101_com_m_iimatugai_674_html_003,壊してまわる,壊してしまった,歌詞の違いに注意,父が尾崎豊『卒業』を「壊してしまった」と歌っていた。,True,www_1101_com_m_iimatugai_674_html,N/A,父,優しいマイファーザー,日本語,"['歌詞', '聞き間違い', '家庭', '日本語']","['家庭', 'テレビ視聴', '歌唱', 'ノイズなし']"
www_1101_com_m_iimatugai_674_html_004,サザエさんは愉快だな,サザエさんは雪だるま,歌詞の意味を考えよう,3歳の息子がサザエさんEDを「雪だるま」と歌っていた。,True,www_1101_com_m_iimatugai_674_html,N/A,息子,ゆみ,日本語,"['歌詞', '聞き間違い', '家庭', '日本語', '非母語話者']","['家庭', '幼児', '歌唱', 'ノイズなし']"
www_1101_com_m_iimatugai_674_html_005,ささの葉さらさら,たなばたさらさら,歌詞の言葉を正確に覚えよう,介護施設で『七夕』を「たなばたさらさら」と歌ってしまった。,True,www_1101_com_m_iimatugai_674_html,N/A,ねねこ,利用者,日本語,"['歌詞', '聞き間違い', '介護', '日本語']","['介護施設', '歌唱', 'ノイズなし']"
www_1101_com_m_iimatugai_674_html_006,つのだせ、やりだせ、めだまだせ,つのだせ、やりだせ、ぶちかませ,歌詞の意味を考えよう,姪っ子が「ぶちかませ」と歌っていた。,True,www_1101_com_m_iimatugai_674_html,N/A,姪っ子,冬海,日本語,"['歌詞', '聞き間違い', '家庭', '日本語', '非母語話者']","['家庭', '幼児', '歌唱', 'ノイズなし']"
www_1101_com_m_iimatugai_674_html_007,おんまはみんな,カッパがはしる,歌詞をよく聞こう,2歳半の息子が「カッパがはしる」と歌っていた。,True,www_1101_com_m_iimatugai_674_html,N/A,息子,鬼嫁,日本語,"['歌詞', '聞き間違い', '家庭', '日本語', '非母語話者']","['家庭', '幼児', '歌唱', 'ノイズなし']"
www_1101_com_m_iimatugai_674_html_008,大きな古時計,大きな花嫁,歌詞の意味を考えよう,息子の友達が「大きな花嫁」と歌っていた。,True,www_1101_com_m_iimatugai_674_html,N/A,息子友達,きれいな人,日本語,"['歌詞', '聞き間違い', '家庭', '日本語', '非母語話者']","['家庭', '幼児', '歌唱', 'ノイズなし']"
www_1101_com_m_iimatugai_674_html_009,秋の夕陽に照る山もみじ,小芋薄芋数ある中に,歌詞を正確に覚えよう,上司が幼少期に「小芋薄芋数ある中に」と歌っていた。,True,www_1101_com_m_iimatugai_674_html,N/A,上司,みそすぎ。,日本語,"['歌詞', '聞き間違い', '家庭', '日本語']","['家庭', '幼少期', '歌唱', 'ノイズなし']"
www_1101_com_m_iimatugai_674_html_010,オー、パキャラマド〜パキャマラド〜,おー！買ってもらうぞ！買ってもらうぞ！,歌詞のリズムに注意,夫が「買ってもらうぞ！」と歌っていた。,True,www_1101_com_m_iimatugai_674_html,N/A,夫,妻,日本語,"['歌詞', '聞き間違い', '家庭', '日本語']","['家庭', '夫婦', '歌唱', 'ノイズなし']"
www_1101_com_m_iimatugai_674_html_011,つのだせ、やりだせ、めだまだせ,つのだせ、ナニだせ、頭だせ,歌詞の意味を考えよう,娘（3歳）が「ナニだせ、頭だせ」と歌っていた。,True,www_1101_com_m_iimatugai_674_html,N/A,娘,ハル×２,日本語,"['歌詞', '聞き間違い', '家庭', '日本語', '非母語話者']","['家庭', '幼児', '歌唱', 'ノイズなし']"
www_1101_com_m_iimatugai_674_html_012,新しい朝が来た希望の朝だ,新しいパパが来た希望のパパだ,歌詞の意味を考えよう,友達がラジオ体操の歌を「新しいパパが来た」と歌っていた。,True,www_1101_com_m_iimatugai_674_html,N/A,友達,おく,日本語,"['歌詞', '聞き間違い', '友人', '日本語']","['友人', 'ラジオ体操', '歌唱', 'ノイズなし']"
www_1101_com_m_iimatugai_674_html_013,ないてばかりいるこねこちゃん,いぬのこねこちゃん,歌詞の動物に注意,3歳児が「いぬのこねこちゃん」と歌っていた。,True,www_1101_com_m_iimatugai_674_html,N/A,3歳児,投稿者,日本語,"['歌詞', '聞き間違い', '家庭', '日本語', '非母語話者']","['家庭', '幼児', '歌唱', 'ノイズなし']"
www_1101_com_m_iimatugai_674_html_014,汽車は闇をぬけて光の海へ,ゆっくがーおとっこのーどこんーじょーおー,歌詞が別の歌と混ざらないように,姉が『銀河鉄道999』を歌っていたら『巨人の星』が混ざった。,True,www_1101_com_m_iimatugai_674_html,N/A,姉,投稿者,日本語,"['歌詞', '聞き間違い', '家庭', '日本語']","['家庭', '歌唱', 'ノイズなし']"
www_1101_com_m_iimatugai_674_html_015,こがねもち,金持ち,言葉の意味を考えよう,友達が「こがねもち」を「金持ち」と歌っていた。,True,www_1101_com_m_iimatugai_674_html,N/A,友達,村田,日本語,"['歌詞', '聞き間違い', '友人', '日本語']","['友人', '歌唱', 'ノイズなし']"
