MishearID,Src,Tgt,Tips,Note,OriginalFlag,DocID,URL,Language,Tags,Envs
eichie_9568_001,ジングルベル,ジングルベー,幼児は音で覚える,3歳頃まで「ジングルベル」を「ジングルベー」と思っていた,True,eichie_9568,https://eichie.jp/advisements/9568,日本語,"['子供', '聞き間違い', '歌詞', '覚え間違い', '教育', '家庭', '幼児']","['家庭', '日常生活', '歌']"
eichie_9568_002,テレビ,テビリ,幼児は音で覚える,定番の聞き間違い。年中まで直らなかった,True,eichie_9568,https://eichie.jp/advisements/9568,日本語,"['子供', '聞き間違い', '語彙', '覚え間違い', '教育', '家庭', '幼児']","['家庭', '日常生活', '会話']"
eichie_9568_003,エレベーター,エベレータ,幼児は音で覚える,定番の聞き間違い。年中まで直らなかった,True,eichie_9568,https://eichie.jp/advisements/9568,日本語,"['子供', '聞き間違い', '語彙', '覚え間違い', '教育', '家庭', '幼児']","['家庭', '日常生活', '会話']"
eichie_9568_004,プレゼント,プゼレント,幼児は音で覚える,定番の聞き間違い。年中まで直らなかった,True,eichie_9568,https://eichie.jp/advisements/9568,日本語,"['子供', '聞き間違い', '語彙', '覚え間違い', '教育', '家庭', '幼児']","['家庭', '日常生活', '会話']"
eichie_9568_005,マッチ売りの少女,マッチューリの少女,幼児は音で覚える,「マッチ売りの少女」を「マッチューリの少女」と思い込んでいた,True,eichie_9568,https://eichie.jp/advisements/9568,日本語,"['子供', '聞き間違い', '本', '覚え間違い', '教育', '家庭', '幼児']","['家庭', '日常生活', '本']"
eichie_9568_006,ああ無情,アーム・ジョー,幼児は音で覚える,「ああ無情」を「アーム・ジョー」と思い込んでいた,True,eichie_9568,https://eichie.jp/advisements/9568,日本語,"['子供', '聞き間違い', '歌詞', '覚え間違い', '教育', '家庭', '幼児']","['家庭', '日常生活', '歌']"
eichie_9568_007,思い込んだら（巨人の星OP）,重い本棚,幼児は音で覚える,「思い込んだら～」を「重い本棚」と聞き間違えていた,True,eichie_9568,https://eichie.jp/advisements/9568,日本語,"['子供', '聞き間違い', '歌詞', '覚え間違い', '教育', '家庭', '幼児']","['家庭', '日常生活', '歌']"
eichie_9568_008,聞き分けのない女の頬を（ジュリーの歌詞）,父は毛のない女の,幼児は音で覚える,歌詞を「父は毛のない女の」と唄っていた記憶,True,eichie_9568,https://eichie.jp/advisements/9568,日本語,"['子供', '聞き間違い', '歌詞', '覚え間違い', '教育', '家庭', '幼児']","['家庭', '日常生活', '歌']"
eichie_9568_009,太陽系,たいよんけ,幼児は音で覚える,「たいよんけ」と覚えて入試で書いてしまい不合格,True,eichie_9568,https://eichie.jp/advisements/9568,日本語,"['子供', '聞き間違い', '語彙', '覚え間違い', '教育', '家庭', '幼児']","['家庭', '日常生活', '学校']"
eichie_9568_010,看護婦さん,かんごくさん,幼児は音で覚える,「かんごくさん」と覚えて入試で書いてしまい不合格,True,eichie_9568,https://eichie.jp/advisements/9568,日本語,"['子供', '聞き間違い', '語彙', '覚え間違い', '教育', '家庭', '幼児']","['家庭', '日常生活', '学校']"
