MishearID,Src,Tgt,Tips,Note,OriginalFlag,DocID,URL,SpeakerID,ListenerID,Language,Tags,Envs
www_1101_com_m_iimatugai_457_html_001,森の里,森昌子,地名と有名人の名前は音が似ている場合注意。,40代女性社員が電話取次ぎ時に発生。オフィスでの電話応対。,True,www_1101_com_m_iimatugai_457_html,N/A,女性社員,部署社員,日本語,"['言い間違い', '聞き間違い', '日常', 'ユーモア']","['オフィス', '電話']"
www_1101_com_m_iimatugai_457_html_002,ニュービートル,郵便局,車名と施設名、音の一部だけで判断しない。,車内で姉妹の会話。姉が「ニュービートル」を「郵便局」と聞き間違えた。,True,www_1101_com_m_iimatugai_457_html,N/A,妹,姉,日本語,"['言い間違い', '聞き間違い', '日常', 'ユーモア']","['車内', '家族']"
www_1101_com_m_iimatugai_457_html_003,北東に進路を変えて,適当に進路を変えて,天気予報の定型表現は聞き慣れていないと誤解しやすい。,天気予報を聞いていた際の聞き間違い。,True,www_1101_com_m_iimatugai_457_html,N/A,天気予報,投稿者,日本語,"['聞き間違い', '日常', 'ユーモア']","['家庭', 'テレビ']"
www_1101_com_m_iimatugai_457_html_004,銀行に行って、お金出してくる,貧乏人の金田さんが来る,似た音のフレーズは文脈で判断を。,デート中、彼女の発言を彼氏が聞き間違えた。,True,www_1101_com_m_iimatugai_457_html,N/A,彼女,彼氏,日本語,"['聞き間違い', '日常', 'ユーモア']","['屋外', 'デート']"
www_1101_com_m_iimatugai_457_html_005,ご持参ください,おじさん、ください,早口や省略で意味が変わることも。,家族でテレビを見ていた際、天気予報のアナウンスを家族全員で聞き間違えた。,True,www_1101_com_m_iimatugai_457_html,N/A,天気予報,家族,日本語,"['聞き間違い', '日常', 'ユーモア']","['家庭', 'テレビ']"
www_1101_com_m_iimatugai_457_html_006,ランチバイキング,愛知万博,店名やイベント名は文脈で判断。,OL達の会話を聞き間違えた。名古屋以外の場所での出来事。,True,www_1101_com_m_iimatugai_457_html,N/A,OL,投稿者,日本語,"['聞き間違い', '日常', 'ユーモア']","['屋外', '街中']"
www_1101_com_m_iimatugai_457_html_007,後れ毛,ウクレレ,音が似ている単語は注意。,小6の姉が髪型の話をしていたのを小2の妹が聞き間違えた。,True,www_1101_com_m_iimatugai_457_html,N/A,姉,妹,日本語,"['聞き間違い', '家族', '日常', 'ユーモア']","['家庭', '姉妹']"
www_1101_com_m_iimatugai_457_html_008,鼻かみたいよ,裸みたいよ,鼻づまりや発音不明瞭時は誤解しやすい。,風邪気味の友人が発音不明瞭で聞き間違い発生。温泉旅行中。,True,www_1101_com_m_iimatugai_457_html,N/A,友人,投稿者,日本語,"['聞き間違い', '旅行', '日常', 'ユーモア']","['旅行', '温泉']"
www_1101_com_m_iimatugai_457_html_009,五感を研ぎ澄まして,股間を研ぎ澄まして,似た音の単語は文脈で判断。,テレビからの音声を聞き間違えた。,True,www_1101_com_m_iimatugai_457_html,N/A,テレビ,投稿者,日本語,"['聞き間違い', '日常', 'ユーモア']","['家庭', 'テレビ']"
www_1101_com_m_iimatugai_457_html_010,阪神の勝負,下半身と勝負,球団名と体の部位は音が似ている場合注意。,電話で女友達と会話中、野球の話題を聞き間違えた。,True,www_1101_com_m_iimatugai_457_html,N/A,女友達,投稿者,日本語,"['聞き間違い', '日常', 'ユーモア']","['電話', '友人']"
www_1101_com_m_iimatugai_457_html_011,新陳代謝,ちんちん大蛇,専門用語や難しい言葉は注意。,友人同士の会話で発生。,True,www_1101_com_m_iimatugai_457_html,N/A,投稿者,親友,日本語,"['聞き間違い', '日常', 'ユーモア']",['友人同士']
