MishearID,Src,Tgt,Tips,Note,OriginalFlag,DocID,URL,Language,Tags,Envs
komachi367676_001,C'est tout?,Sept oeufs?,フランス語の発音に注意,パリの食品店で「これで全部ですか？」が「卵を7つですか？」に聞こえた,True,komachi367676,https://komachi.yomiuri.co.jp/topics/id/367676/,日本語/フランス語,"['外国語', '発音', '聞き間違い', 'フランス語', '非母語話者']","['店舗', '海外旅行']"
komachi367676_002,Eiffel Tour,Et fais le tour,フランス語の語順・発音に注意,タクシーで「エッフェル塔」と言ったつもりが「ここで一回回れ」と解釈された,True,komachi367676,https://komachi.yomiuri.co.jp/topics/id/367676/,英語/フランス語,"['外国語', '発音', '聞き間違い', 'フランス語', '英語', '非母語話者']","['タクシー', '海外旅行']"
komachi367676_003,Citibank,Shitty bank,s/ʃ/の発音に注意,「シティバンク」が「くそったれ銀行」に聞こえる,True,komachi367676,https://komachi.yomiuri.co.jp/topics/id/367676/,英語/日本語,"['外国語', '発音', '聞き間違い', '英語', '非母語話者']","['店舗', '海外旅行']"
komachi367676_004,Please sit down,Please shit down,sit/shitの発音に注意,「どうぞお座りください」が「う○こして下さい」に聞こえる,True,komachi367676,https://komachi.yomiuri.co.jp/topics/id/367676/,英語,"['外国語', '発音', '聞き間違い', '英語', '非母語話者']","['職場', '海外旅行']"
komachi367676_005,Beer,Milk,発音に注意,日本人・韓国人の発音で「ビア」が「ミルク」に聞こえる,True,komachi367676,https://komachi.yomiuri.co.jp/topics/id/367676/,英語,"['外国語', '発音', '聞き間違い', '英語', '非母語話者']","['レストラン', '海外旅行']"
komachi367676_006,Milk,Beer,発音に注意,逆パターンもあり,True,komachi367676,https://komachi.yomiuri.co.jp/topics/id/367676/,英語,"['外国語', '発音', '聞き間違い', '英語', '非母語話者']","['レストラン', '海外旅行']"
komachi367676_007,Concord,観光案内,発音に注意,「コンコルド」と言ったつもりが観光案内に連れて行かれた (Tgt=NA: 意味的誤解),True,komachi367676,https://komachi.yomiuri.co.jp/topics/id/367676/,英語,"['外国語', '発音', '聞き間違い', '英語', '非母語話者']","['タクシー', '海外旅行']"
komachi367676_008,No money,飲まねえ,発音に注意,「飲まねえ」が「No money」に聞こえた,True,komachi367676,https://komachi.yomiuri.co.jp/topics/id/367676/,英語/日本語,"['外国語', '発音', '聞き間違い', '英語', '日本語', '非母語話者']","['店舗', '海外旅行']"
komachi367676_009,Calpis,Cow piss,商品名に注意,「カルピス」が「牛の尿」に聞こえるため「カルピコ」に変更,True,komachi367676,https://komachi.yomiuri.co.jp/topics/id/367676/,英語/日本語,"['外国語', '発音', '聞き間違い', '英語', '日本語', '非母語話者']","['店舗', '海外旅行']"
komachi367676_010,Peanut Butter,Penis Butter,発音に注意,「ピーナッツバター」が「ペニスバター」に聞こえる,True,komachi367676,https://komachi.yomiuri.co.jp/topics/id/367676/,英語,"['外国語', '発音', '聞き間違い', '英語', '非母語話者']","['家庭', '海外旅行']"
komachi367676_011,支店長,shit-tencho,ローマ字表記に注意,「支店長」が下品な言葉に聞こえる,True,komachi367676,https://komachi.yomiuri.co.jp/topics/id/367676/,英語/日本語,"['外国語', '発音', '聞き間違い', '英語', '日本語', '非母語話者']","['職場', '海外旅行']"
komachi367676_012,sheet,shit,イタリア人の母音発音に注意,「シーツ」が下品な言葉に聞こえる,True,komachi367676,https://komachi.yomiuri.co.jp/topics/id/367676/,英語,"['外国語', '発音', '聞き間違い', '英語', '非母語話者']","['家庭', '海外旅行']"
