MishearID,Src,Tgt,Tips,Note,OriginalFlag,DocID,URL,SpeakerID,ListenerID,Language,Tags,Envs
coffee_break_parts_similar200412_001,三番瀬の環境ということで、水生生物の経年的な減少が話題になっている～～,三番瀬の環境ということで、水生生物の経年的な現象が話題になっている～～,減少と現象は音が似ているので注意,行政会議での発言。速記者が「減少」を「現象」と聞き間違えた。環境問題の議論中。,True,coffee_break_parts_similar200412,N/A,不明,速記者,日本語,"['行政', '環境', '速記']",['文字起こし']
coffee_break_parts_similar200412_002,ご指摘のように繰延ヘッジ損益などを想定していると思いますが～～,ご指摘のように国のヘッジ損益などを想定していると思いますが～～,繰延と国のは発音が似ている,金融・経済関連の会議。専門用語「繰延ヘッジ損益」を「国のヘッジ損益」と誤認。,True,coffee_break_parts_similar200412,N/A,不明,速記者,日本語,"['経済', '金融', '速記']",['文字起こし']
coffee_break_parts_similar200412_003a,全省庁が一緒になって、遺漏なきよう、議論漏れがなきように～～。,全省庁が一緒になって、いろんな機能、議論漏れがなきように～～。,遺漏なきようは聞き慣れない表現,行政会議での発言。「遺漏なきよう」を「いろんな機能」と聞き間違えた。文脈上不自然な変換。,True,coffee_break_parts_similar200412,N/A,不明,速記者,日本語,"['行政', '速記']",['文字起こし']
coffee_break_parts_similar200412_003b,全省庁が一緒になって、遺漏なきよう、議論漏れがなきように～～。,全省庁が一緒になって、異論なきよう、議論漏れがなきように～～。,遺漏と異論は音が似ている,行政会議での発言。「遺漏なきよう」を「異論なきよう」と聞き間違えた。どちらも会議で使われるが意味が異なる。,True,coffee_break_parts_similar200412,N/A,不明,速記者,日本語,"['行政', '速記']",['文字起こし']
coffee_break_parts_similar200412_004,皆さんからも、また副長官補からも説明がありましたが～～,皆さんからも、また副長官のほうからも説明がありましたが～～,補と「のほう」は聞き間違いやすい,政府関係の会議。「副長官補」を「副長官のほう」と誤認。役職名の聞き間違い。,True,coffee_break_parts_similar200412,N/A,不明,速記者,日本語,"['行政', '速記']",['文字起こし']
coffee_break_parts_similar200412_005,自衛隊法施行令の一部改正する政令外～～,自衛隊法施行例の一部改正する政令外～～,令と例は発音が同じ,法律関連の会議。「施行令」を「施行例」と聞き間違えた。法令名の誤記。,True,coffee_break_parts_similar200412,N/A,不明,速記者,日本語,"['法律', '行政', '速記']",['文字起こし']
coffee_break_parts_similar200412_006,この部屋を既定予算内で軽運動ができる床に改修しようと～～,この部屋を規定予算内で軽運動ができる床に改修しようと～～,既定と規定は意味も発音も似ている,公共施設の改修に関する会議。「既定予算内」を「規定予算内」と誤記。,True,coffee_break_parts_similar200412,N/A,不明,速記者,日本語,"['公共施設', '行政', '速記']",['文字起こし']
coffee_break_parts_similar200412_007,古民家の開館の時期は、季節のいい春とか秋ごろに～～,公民館の会館の時期は、季節のいい春とか秋ごろに～～,古民家と公民館、開館と会館は音が近い,地域施設の会議。「古民家の開館」を「公民館の会館」と聞き間違えた。,True,coffee_break_parts_similar200412,N/A,不明,速記者,日本語,"['公共施設', '速記']",['文字起こし']
coffee_break_parts_similar200412_008,まず資料１は前回の議事録、要旨ですが。何かご指摘は～～,まず資料１は前回の議事録、よろしいですか。何かご指摘は～～,要旨ですがとよろしいですかは語感が近い,会議冒頭の発言。「要旨ですが」を「よろしいですか」と聞き間違えた。,True,coffee_break_parts_similar200412,N/A,不明,速記者,日本語,"['会議', '速記']",['文字起こし']
coffee_break_parts_similar200412_009,中国の報道官は、沖の鳥島は島ではなくて岩で、日本は排他的経済水域は設定できないと～～,中国の報道官は、沖の鳥島は島ではなくて岩で、日本は排他的経済請求は設定できないと～～,水域と請求は音が似ている,国際問題に関する会議。「排他的経済水域」を「排他的経済請求」と聞き間違えた。,True,coffee_break_parts_similar200412,N/A,不明,速記者,日本語,"['国際', '法律', '速記']",['文字起こし']
coffee_break_parts_similar200412_010,関空に、今、２本の滑走路、２００７年共用開始が要るのかということについて～～,関空に、今、日本の滑走路、２００７年共用開始がいるのかということについて～～,２本と日本、要るといるは音が近い,空港建設に関する会議。「２本の滑走路」「要る」を「日本の滑走路」「いる」と聞き間違えた。,True,coffee_break_parts_similar200412,N/A,不明,速記者,日本語,"['空港', 'インフラ', '速記']",['文字起こし']
