MishearID,Src,Tgt,Tips,Note,OriginalFlag,DocID,URL,SpeakerID,ListenerID,Language,Tags,Envs
www_1101_com_iimatugai_archive_more070312_001,花の２区,腹の肉,スポーツ中継の固有名詞は聞き取りに注意。,正月、実家で箱根駅伝をテレビ観戦中、アナウンサーの「花の２区」を「腹の肉」と聞き間違えた。家族団らんの場、テレビ音声。,True,www_1101_com_iimatugai_archive_more070312,N/A,アナウンサー,投稿者（じゃっき）,日本語,"['聞き間違い', 'スポーツ', 'テレビ', '家庭']","['家庭', 'テレビ', 'スポーツ中継', '環境音']"
www_1101_com_iimatugai_archive_more070312_002,５期ぶりの出場,ゴキブリ,数字や区切りのある言葉は注意。,夕方のニュースで「５期ぶりの出場」を「ゴキブリ」と聞き間違えた。テレビ音声、ニュース番組。,True,www_1101_com_iimatugai_archive_more070312,N/A,レポーター,投稿者（rie24）,日本語,"['聞き間違い', 'ニュース', 'テレビ', '家庭']","['家庭', 'テレビ', 'ニュース', '環境音']"
www_1101_com_iimatugai_archive_more070312_003,てんびん座,ペンギン座,星座名は似た音の動物名と混同しやすい。,朝、弁当作り中にテレビから「５位は、てんびん座」と聞こえたが「おいら、ペンギン座」と聞き間違えた。情報番組、家庭のキッチン。,True,www_1101_com_iimatugai_archive_more070312,N/A,番組ナレーター,投稿者（私はモナリ座）,日本語,"['聞き間違い', '星座', 'テレビ', '家庭']","['家庭', 'キッチン', 'テレビ', '情報番組', '環境音']"
www_1101_com_iimatugai_archive_more070312_004,わらび（山菜）,ワラビー（動物）,食材名と動物名の混同に注意。,娘が伯母からの電話で「わらびいる？」を「ワラビーいる？」と聞き間違えた。電話、家庭。,True,www_1101_com_iimatugai_archive_more070312,N/A,伯母,娘,日本語,"['聞き間違い', '家庭', '電話', '食材', '動物']","['家庭', '電話', '環境音']"
www_1101_com_iimatugai_archive_more070312_005,高原の秋,瀬戸内海,風景や地名は文脈で判断を。,群馬県の高原をドライブ中、「高原の秋って切ないくらいキレイだよね」を「瀬戸内海キレイ」と聞き間違えた。車内、ドライブ、会話。,True,www_1101_com_iimatugai_archive_more070312,N/A,投稿者（しろう）,彼女,日本語,"['聞き間違い', 'ドライブ', '地名', '会話']","['車内', 'ドライブ', '環境音']"
www_1101_com_iimatugai_archive_more070312_006,レモンティー、プリーズ,レッドスネーク、カモン,カタカナ英語は注意。,職場で上司が「レモンティー、プリーズ」と言ったのを「レッドスネーク、カモン」と聞き間違えた。オフィス、会話。,True,www_1101_com_iimatugai_archive_more070312,N/A,上司,投稿者（むらっち）,日本語,"['聞き間違い', '職場', 'カタカナ英語', '会話']","['職場', 'オフィス', '会話', '環境音']"
www_1101_com_iimatugai_archive_more070312_007,ペン１本,ペニポ,数字や単語の区切りに注意。,免許センターで「ペン１本貸して」と言ったら「ペニポ？」と聞き返された。発音の問題。,True,www_1101_com_iimatugai_archive_more070312,N/A,投稿者,隣の人,日本語,"['聞き間違い', '免許センター', '発音', '会話']","['免許センター', '試験会場', '会話', '環境音']"
www_1101_com_iimatugai_archive_more070312_008,プラダを着た悪魔,クララの北枕,映画タイトルは正確に。,電車内で女子高生が「クララの北枕」と言っていたが、正しくは「プラダを着た悪魔」だった。映画情報検索、会話。,True,www_1101_com_iimatugai_archive_more070312,N/A,女子高生,女子高生,日本語,"['聞き間違い', '映画', '電車', '会話']","['公共交通機関', '電車', '会話', '環境音']"
www_1101_com_iimatugai_archive_more070312_009,愛する,アイス,同音異義語に注意。,結婚式のチャペルで牧師の「愛する」を小さな女の子が「アイス」と聞き間違えた。厳かな雰囲気。,True,www_1101_com_iimatugai_archive_more070312,N/A,牧師,女の子,日本語,"['聞き間違い', '結婚式', '子供', '会話']","['結婚式', 'チャペル', '会話', '環境音']"
www_1101_com_iimatugai_archive_more070312_010,パン粉,散歩,犬は音の一部で反応することがある。,子供に「パン粉買ってきて」と言ったら、飼い犬が「散歩」と聞き間違えてソワソワしだした。家庭、犬。,True,www_1101_com_iimatugai_archive_more070312,N/A,投稿者（K）,飼い犬,日本語,"['聞き間違い', '家庭', '犬', '会話']","['家庭', '犬', '会話', '環境音']"
