MishearID,Src,Tgt,Tips,Note,OriginalFlag,DocID,URL,Language,Tags,Envs
m_gakusei_alphabet_001,0,O,ゼロとオーの区別,数字のゼロと英字のオーは形が似ており、聞き間違いが多い。,True,m_gakusei_alphabet,http://m-gakusei.com/index.php?%E3%82%A2%E3%83%AB%E3%83%95%E3%82%A1%E3%83%99%E3%83%83%E3%83%88%E3%81%AE%E5%8F%A3%E9%A0%AD%E9%80%A3%E7%B5%A1,日本語,"['通信', 'コールセンター', 'アルファベット', 'フォネティックコード', '聞き間違い', '電話', '無線', '非母語話者', '数字', '記号']","['電話', '無線通信', 'コールセンター']"
m_gakusei_alphabet_002,1,7,イチとシチの区別,数字の一と七は発音が似ており、聞き間違いが発生しやすい。,True,m_gakusei_alphabet,http://m-gakusei.com/index.php?%E3%82%A2%E3%83%AB%E3%83%95%E3%82%A1%E3%83%99%E3%83%83%E3%83%88%E3%81%AE%E5%8F%A3%E9%A0%AD%E9%80%A3%E7%B5%A1,日本語,"['通信', 'コールセンター', 'アルファベット', 'フォネティックコード', '聞き間違い', '電話', '無線', '非母語話者', '数字', '記号']","['電話', '無線通信', 'コールセンター']"
m_gakusei_alphabet_003,D,B,デーとビーの区別,D（デー）とB（ビー）は発音が似ているため混同しやすい。,True,m_gakusei_alphabet,http://m-gakusei.com/index.php?%E3%82%A2%E3%83%AB%E3%83%95%E3%82%A1%E3%83%99%E3%83%83%E3%83%88%E3%81%AE%E5%8F%A3%E9%A0%AD%E9%80%A3%E7%B5%A1,日本語,"['通信', 'コールセンター', 'アルファベット', 'フォネティックコード', '聞き間違い', '電話', '無線', '非母語話者', '数字', '記号']","['電話', '無線通信', 'コールセンター']"
m_gakusei_alphabet_004,I,l,アイとエルの区別,I（大文字アイ）とl（小文字エル）は形も発音も似ており、1（イチ）とも混同。,True,m_gakusei_alphabet,http://m-gakusei.com/index.php?%E3%82%A2%E3%83%AB%E3%83%95%E3%82%A1%E3%83%99%E3%83%83%E3%83%88%E3%81%AE%E5%8F%A3%E9%A0%AD%E9%80%A3%E7%B5%A1,日本語,"['通信', 'コールセンター', 'アルファベット', 'フォネティックコード', '聞き間違い', '電話', '無線', '非母語話者', '数字', '記号']","['電話', '無線通信', 'コールセンター']"
m_gakusei_alphabet_005,I,1,アイとイチの区別,I（大文字アイ）とl（小文字エル）は形も発音も似ており、1（イチ）とも混同。,True,m_gakusei_alphabet,http://m-gakusei.com/index.php?%E3%82%A2%E3%83%AB%E3%83%95%E3%82%A1%E3%83%99%E3%83%83%E3%83%88%E3%81%AE%E5%8F%A3%E9%A0%AD%E9%80%A3%E7%B5%A1,日本語,"['通信', 'コールセンター', 'アルファベット', 'フォネティックコード', '聞き間違い', '電話', '無線', '非母語話者', '数字', '記号']","['電話', '無線通信', 'コールセンター']"
m_gakusei_alphabet_006,l,1,エルとイチの区別,I（大文字アイ）とl（小文字エル）は形も発音も似ており、1（イチ）とも混同。,True,m_gakusei_alphabet,http://m-gakusei.com/index.php?%E3%82%A2%E3%83%AB%E3%83%95%E3%82%A1%E3%83%99%E3%83%83%E3%83%88%E3%81%AE%E5%8F%A3%E9%A0%AD%E9%80%A3%E7%B5%A1,日本語,"['通信', 'コールセンター', 'アルファベット', 'フォネティックコード', '聞き間違い', '電話', '無線', '非母語話者', '数字', '記号']","['電話', '無線通信', 'コールセンター']"
m_gakusei_alphabet_007,E,F,イーとエフの区別,E（イー）とF（エフ）は発音が似ているため混同しやすい。,True,m_gakusei_alphabet,http://m-gakusei.com/index.php?%E3%82%A2%E3%83%AB%E3%83%95%E3%82%A1%E3%83%99%E3%83%83%E3%83%88%E3%81%AE%E5%8F%A3%E9%A0%AD%E9%80%A3%E7%B5%A1,日本語,"['通信', 'コールセンター', 'アルファベット', 'フォネティックコード', '聞き間違い', '電話', '無線', '非母語話者', '数字', '記号']","['電話', '無線通信', 'コールセンター']"
m_gakusei_alphabet_008,T,P,テーとピーの区別,T（テー）とP（ピー）は発音が似ているため混同しやすい。,True,m_gakusei_alphabet,http://m-gakusei.com/index.php?%E3%82%A2%E3%83%AB%E3%83%95%E3%82%A1%E3%83%99%E3%83%83%E3%83%88%E3%81%AE%E5%8F%A3%E9%A0%AD%E9%80%A3%E7%B5%A1,日本語,"['通信', 'コールセンター', 'アルファベット', 'フォネティックコード', '聞き間違い', '電話', '無線', '非母語話者', '数字', '記号']","['電話', '無線通信', 'コールセンター']"
m_gakusei_alphabet_009,M,N,エムとエヌの区別,M（エム）とN（エヌ）は発音が似ているため混同しやすい。,True,m_gakusei_alphabet,http://m-gakusei.com/index.php?%E3%82%A2%E3%83%AB%E3%83%95%E3%82%A1%E3%83%99%E3%83%83%E3%83%88%E3%81%AE%E5%8F%A3%E9%A0%AD%E9%80%A3%E7%B5%A1,日本語,"['通信', 'コールセンター', 'アルファベット', 'フォネティックコード', '聞き間違い', '電話', '無線', '非母語話者', '数字', '記号']","['電話', '無線通信', 'コールセンター']"
m_gakusei_alphabet_010,Q,9,キューとナインの区別,Q（キュー）と9（ナイン）は発音が似ているため混同しやすい。,True,m_gakusei_alphabet,http://m-gakusei.com/index.php?%E3%82%A2%E3%83%AB%E3%83%95%E3%82%A1%E3%83%99%E3%83%83%E3%83%88%E3%81%AE%E5%8F%A3%E9%A0%AD%E9%80%A3%E7%B5%A1,日本語,"['通信', 'コールセンター', 'アルファベット', 'フォネティックコード', '聞き間違い', '電話', '無線', '非母語話者', '数字', '記号']","['電話', '無線通信', 'コールセンター']"
