MishearID,Src,Tgt,Tips,Note,OriginalFlag,DocID,URL,SpeakerID,ListenerID,Language,Tags,Envs
girlschannel_1160446_001,虫が飛んでる,星が飛んでる,祖父の発話,祖父が「虫が飛んでる」と言ったのを「星が飛んでる」と聞き間違え、本気で心配した,True,girlschannel_1160446,https://girlschannel.net/topics/1160446/,,,日本語,"['聞き間違い', '家族']",['家庭']
girlschannel_1160446_002,観光地,缶コーヒー,,「観光地」を「缶コーヒー」と聞き間違えた,True,girlschannel_1160446,https://girlschannel.net/topics/1160446/,,,日本語,"['聞き間違い', '日常会話']",['日常']
girlschannel_1160446_003,新小岩,チンコイワ,車内アナウンス,新小岩の車内アナウンスが「チンコイワ」に聞こえる,True,girlschannel_1160446,https://girlschannel.net/topics/1160446/,,,日本語,"['聞き間違い', '駅・車内アナウンス']",['公共交通機関']
girlschannel_1160446_004,ストレッチしてた,一人エッチしてた,電話での会話,友人に「ストレッチしてた」と言ったら「一人エッチしてた？」と返された,True,girlschannel_1160446,https://girlschannel.net/topics/1160446/,,,日本語,"['聞き間違い', '友人']",['電話']
girlschannel_1160446_005,お飲み物は？,お名前は？,ドライブスルー,ドライブスルーで「お飲み物は？」を「お名前は？」と聞き間違え、フルネームで答えてしまった,True,girlschannel_1160446,https://girlschannel.net/topics/1160446/,,,日本語,"['聞き間違い', '飲食店']",['飲食店']
girlschannel_1160446_006,冷たい水をください、できたら愛してください,冷たい水をください、できたらアイスティーください,歌詞,ポルノグラフィティの歌詞の聞き間違い,True,girlschannel_1160446,https://girlschannel.net/topics/1160446/,,,日本語,"['聞き間違い', '歌詞']",['音楽']
girlschannel_1160446_007,神のみぞ知る,神の味噌汁,,「神のみぞ知る」を「神の味噌汁」と聞き間違えた,True,girlschannel_1160446,https://girlschannel.net/topics/1160446/,,,日本語,['聞き間違い'],['日常']
girlschannel_1160446_008,部長、積水ハウスからお電話です,セクシーハウスからお電話です,,「積水ハウス」を「セクシーハウス」と聞き間違えた,True,girlschannel_1160446,https://girlschannel.net/topics/1160446/,,,日本語,"['聞き間違い', '職場']",['職場']
girlschannel_1160446_009,肉豆腐？,陸上部？,料理名は指さし確認・復唱を徹底。,ファミレス店員が客の「肉豆腐？」を運動部質問と聞き違え「大当たり」と答えて赤面。,True,girlschannel_1160446,https://girlschannel.net/topics/1160446/,,,日本語,"['聞き間違い','飲食店','ユーモア']","['ファミレス','接客','店内']"
girlschannel_1160446_010,マナー,ママ,語頭を明瞭に区切る。,日常会話でマナー講座の話題を母親呼称と誤解し会話が脱線。,True,girlschannel_1160446,https://girlschannel.net/topics/1160446/,,,日本語,"['聞き間違い','日常会話']","['家庭','静かな環境']"
girlschannel_1160446_011,ドナルドダック,レトルトパック,固有名詞は語尾まで発音。,キャラクター名がレトルト食品と化して笑いが起きた家庭内エピソード。,True,girlschannel_1160446,https://girlschannel.net/topics/1160446/,,,日本語,"['聞き間違い','家族','ユーモア']","['家庭']"
girlschannel_1160446_012,薬剤師,ヤクザ医師,職業名は漢字説明を添える。,病院受付で「薬剤師」がアウトロー医師と聞こえ周囲が凍りついた。,True,girlschannel_1160446,https://girlschannel.net/topics/1160446/,,,日本語,"['聞き間違い','医療','ユーモア']","['病院','受付']"
girlschannel_1160446_013,駅で定期買って来て,駅でケーキ買って来て,用件はメモに書いて渡す。,家族へのお使い指示がスイーツ購入へ変換され帰宅後揉めた。,True,girlschannel_1160446,https://girlschannel.net/topics/1160446/,,,日本語,"['聞き間違い','家族','買い物']","['家庭']"
girlschannel_1160446_014,全体止まれ！,変態止まれ！,号令はゆっくり区切って発声。,中学体育で教師の掛け声が猥語に聞こえ男子が真似して騒然。,True,girlschannel_1160446,https://girlschannel.net/topics/1160446/,,,日本語,"['聞き間違い','学校','号令','ユーモア']","['校庭','体育']"
girlschannel_1160446_015,通路側でよろしいですか？,鶴の間でよろしいですか？,窓口ではキーワードを復唱。,新幹線指定席購入時に「通路側」を老舗旅館の座敷かと混乱した。,True,girlschannel_1160446,https://girlschannel.net/topics/1160446/,,,日本語,"['聞き間違い','旅行','鉄道']","['駅窓口']"
girlschannel_1160446_016,目いっぱい,飴いっぱい,歌詞は字幕で確認。,『ちびまる子ちゃん』OPの正歌詞「目いっぱい」を菓子の山と誤認。,True,girlschannel_1160446,https://girlschannel.net/topics/1160446/,,,日本語,"['聞き間違い','歌詞','アニメ']","['音楽','テレビ']"
girlschannel_1160446_017,太子堂（たいしどう）,体脂肪,駅名は漢字掲示を指差し。,帰宅時に車内放送の「太子堂駅」が健康ワードに聞こえて二度見。,True,girlschannel_1160446,https://girlschannel.net/topics/1160446/,,,日本語,"['聞き間違い','地名','車内アナウンス']","['公共交通機関']"
