index,MishearID,Src,Tgt,Src_romaji,Tgt_romaji,romaji_edit_distance,in_word_vector_vocab,similarity
0,denwadaikou_001026_001,いち,しち,ichi,shichi,0.4,True,0.40538347
1,denwadaikou_001026_002,白,黒,shiro,kuro,0.6666666666666666,True,0.7678925
2,africa_atlas_callcenter_001,伊藤,伊東,itou,itou,0.0,True,0.5063525
7,hinative_26006638_001,しち,いち,shichi,ichi,0.4,True,0.40538347
8,hinative_26006638_002,じ,じゅう,ji,juu,0.8,True,0.5244568
10,transcosmos_cotra_order_001,渡辺,渡部,watanabe,watanabe,0.0,True,0.6167532
11,transcosmos_cotra_order_002,斉藤,斎藤,saitou,saitou,0.0,True,0.71804285
12,transcosmos_cotra_order_003,武田,竹田,takeda,takeda,0.0,True,0.38706192
13,girlschannel_4730948_001,関西,海外,kansai,kaigai,0.3333333333333333,True,0.25247642
33,togetter_2549050_001,後藤,伊藤,gotou,itou,0.4444444444444444,True,0.62315196
34,togetter_2549050_002,後藤,佐藤,gotou,satou,0.4,True,0.6376049
36,miya_myukko_1885862566435725347_001,グータッチ,グーパンチ,guutatchi,guupanchi,0.2222222222222222,True,0.26854965
38,nhk_lifechat_post43_001,香川,カナダ,kagawa,kanada,0.3333333333333333,True,0.17359488
42,milacshearing_banana_001,sakana,takana,sakana,takana,0.16666666666666666,True,0.093493834
46,ezpress_4891_020,セール,西武,seeru,seibu,0.4,True,0.12970631
51,blueeyeswhitecat2020_001,静岡県,塩加減,shizuokaken,shiokagen,0.3,True,0.028381992
52,kaigo_postseven_196101_001,さとう,かとう,satou,katou,0.2,True,0.54458684
57,prtimes_000000028_002,かとう,さとう,katou,satou,0.2,True,0.54458684
57,prtimes_000000028_002,加藤,佐藤,katou,satou,0.2,True,0.65631956
59,bamka_kikikoku_001,渋谷,日比谷,shibuya,hibiya,0.3076923076923077,True,0.5621949
66,lar_lan_lin_20130622_001,work,walk,work,walk,0.5,True,0.057077795
76,gakumado_10925_003,インライン,淫乱,inrain,inran,0.18181818181818182,True,0.038355067
81,gakumado_10925_008,支柱,シチュー,shichuu,shichuu,0.0,True,0.11072593
82,gakumado_10925_009,付き,好き,tsuki,suki,0.2222222222222222,True,0.1823736
83,gakumado_10925_010,産休,サンキュー,sankyuu,sankyuu,0.0,True,0.20527731
84,gakumado_10925_011,特休,特急,tokukyuu,tokkyuu,0.13333333333333333,True,0.14228247
92,ishikawa_nursenavi_041_001,佐藤,加藤,satou,katou,0.2,True,0.65631956
96,symphonet_post_710_002,よっ,よう,yotsu,you,0.5,True,0.15070438
102,benesse_juken_20150217_001,寒い,サーロイン,samui,saaroin,0.6666666666666666,True,0.15011428
104,ameba_kikimachi_001,ゼット,ジェット,zetto,jietto,0.36363636363636365,True,0.20377436
105,ameba_kikimachi_002,ち,し,chi,shi,0.3333333333333333,True,0.2879131
106,ameba_kikimachi_003,洗濯機,ケンタッキー,sentakuki,kentakkii,0.3333333333333333,True,0.07489852
109,ameba_kikimachi_007,古波蔵,フォアグラ,kohagura,foagura,0.26666666666666666,True,0.018156348
110,ameba_kikimachi_008,番線,男性,bansen,dansei,0.3333333333333333,True,0.03664746
112,sappororamenclub_8812320262149664_001,醤油,塩,shouyu,shio,0.8,True,0.6427571
115,n1074fz_002,府警,婦警,fukei,fukei,0.0,True,0.28702286
132,komachi367676_013,piece,piss,piece,piss,0.6666666666666666,True,0.14743015
