MishearID,Src,Tgt,Tips,Note,OriginalFlag,DocID,URL,SpeakerID,ListenerID,Language,Tags,Envs
oscarformen_puzzles_001,お弁当温めますか？,お面と頭、増すか？,日常会話で注意,日常の空耳例,True,oscarformen_puzzles,https://oscar-formen.com/content/puzzles-and-misheard-words/,,,日本語,"['日本語', '聞き間違い', '空耳', '日常会話']","['家庭', '日常生活']"
oscarformen_puzzles_002,電話して,天和して,麻雀用語に注意,日常の空耳例,True,oscarformen_puzzles,https://oscar-formen.com/content/puzzles-and-misheard-words/,,,日本語,"['日本語', '聞き間違い', '空耳', '日常会話']","['家庭', '日常生活']"
oscarformen_puzzles_003,お風呂入った？,オフロ・ハイタ〜？,人名のように聞こえる,日常の空耳例,True,oscarformen_puzzles,https://oscar-formen.com/content/puzzles-and-misheard-words/,,,日本語,"['日本語', '聞き間違い', '空耳', '日常会話']","['家庭', '日常生活']"
oscarformen_puzzles_004,ちんあなご,ちんあごなご,子どもの発話に注意,子どもの空耳,True,oscarformen_puzzles,https://oscar-formen.com/content/puzzles-and-misheard-words/,,,日本語,"['日本語', '聞き間違い', '空耳', '子ども']",['家庭']
oscarformen_puzzles_005,コンビニ,ゴンベニ,子どもの発話に注意,子どもの空耳,True,oscarformen_puzzles,https://oscar-formen.com/content/puzzles-and-misheard-words/,,,日本語,"['日本語', '聞き間違い', '空耳', '子ども']",['家庭']
oscarformen_puzzles_006,I can’t stand the rain,愛犬スタンダレイン,洋楽の空耳に注意,洋楽の空耳,True,oscarformen_puzzles,https://oscar-formen.com/content/puzzles-and-misheard-words/,,,日本語,"['日本語', '聞き間違い', '空耳', '音楽']","['テレビ', '音楽']"
oscarformen_puzzles_007,Don’t stop me now,ドン・ス田宮ナウ,洋楽の空耳に注意,洋楽の空耳,True,oscarformen_puzzles,https://oscar-formen.com/content/puzzles-and-misheard-words/,,,日本語,"['日本語', '聞き間違い', '空耳', '音楽']","['テレビ', '音楽']"
oscarformen_puzzles_008,This is America,実質アメリカ,洋楽の空耳に注意,洋楽の空耳,True,oscarformen_puzzles,https://oscar-formen.com/content/puzzles-and-misheard-words/,,,日本語,"['日本語', '聞き間違い', '空耳', '音楽']","['テレビ', '音楽']"
oscarformen_puzzles_009,つけまつける〜,つけまツケール,CMの空耳に注意,CMの空耳,True,oscarformen_puzzles,https://oscar-formen.com/content/puzzles-and-misheard-words/,,,日本語,"['日本語', '聞き間違い', '空耳', 'CM']",['テレビ']
oscarformen_puzzles_010,世界が終わるまでは,せっかいが終わるまでは,歌詞の空耳に注意,“石灰”に聞こえる,True,oscarformen_puzzles,https://oscar-formen.com/content/puzzles-and-misheard-words/,,,日本語,"['日本語', '聞き間違い', '空耳', '音楽']",['音楽']
oscarformen_puzzles_011,You are my soul! soul!,言うわ、前奏！前奏！,歌詞の空耳に注意,イントロへのこだわり,True,oscarformen_puzzles,https://oscar-formen.com/content/puzzles-and-misheard-words/,,,日本語,"['日本語', '聞き間違い', '空耳', '音楽']",['音楽']
oscarformen_puzzles_012,見つめ合うと素直におしゃべりできない,三つ目アウスのアニメをしゃべりできない,歌詞の空耳に注意,謎のキャラ誕生,True,oscarformen_puzzles,https://oscar-formen.com/content/puzzles-and-misheard-words/,,,日本語,"['日本語', '聞き間違い', '空耳', '音楽']",['音楽']
oscarformen_puzzles_013,I was made for loving you,合わすメイド風呂、ラビン牛,歌詞の空耳に注意,牛が主役に,True,oscarformen_puzzles,https://oscar-formen.com/content/puzzles-and-misheard-words/,,,日本語,"['日本語', '聞き間違い', '空耳', '音楽']",['音楽']
