MishearID,Src,Tgt,Tips,Note,OriginalFlag,DocID,URL,SpeakerID,ListenerID,Language,Tags,Envs
coffee_break_parts_similar200404_001,自流米,自由米,発音が似ているため注意,会議中の発言を速記者が記録。専門用語の認識不足が原因。,True,coffee_break_parts_similar200404,N/A,不明,速記者,日本語,"['聞き間違い', '速記', 'ビジネス', '行政']",['文字起こし']
coffee_break_parts_similar200404_002,自由とパン,銃とパン,「じゆう」と「じゅう」の区別に注意,パンとセットで語られることが少ない「銃」が誤記された。,True,coffee_break_parts_similar200404,N/A,不明,速記者,日本語,"['聞き間違い', '速記', 'ビジネス', '行政']",['文字起こし']
coffee_break_parts_similar200404_003,電力は広域事業,電力は公益事業,業界用語の確認を徹底,電力業界の専門用語が混同された。,True,coffee_break_parts_similar200404,N/A,不明,速記者,日本語,"['聞き間違い', '技術', 'ビジネス']",['文字起こし']
coffee_break_parts_similar200404_004,十分な額確保されれば,十分長く確保されれば,文脈で意味が通るか再確認,金額と期間の混同。文脈から判断しにくい。,True,coffee_break_parts_similar200404,N/A,不明,速記者,日本語,"['聞き間違い', 'ビジネス', '行政']",['文字起こし']
coffee_break_parts_similar200404_005,責任をとれない,責任を問えない,動詞の違いに注意,「とる」と「問う」の発音が似ているため混同。,True,coffee_break_parts_similar200404,N/A,不明,速記者,日本語,"['聞き間違い', '行政', 'ビジネス']",['文字起こし']
coffee_break_parts_similar200404_006,伺えない,疑えない,「うかがえ」と「うたがえ」の違いに注意,発音が非常に似ているため、文脈で判断が必要。,True,coffee_break_parts_similar200404,N/A,不明,速記者,日本語,"['聞き間違い', '行政']",['文字起こし']
coffee_break_parts_similar200404_007,国産エネルギー,国際エネルギー,「こくさん」と「こくさい」の区別に注意,エネルギー政策の文脈で混同。,True,coffee_break_parts_similar200404,N/A,不明,速記者,日本語,"['聞き間違い', '技術', '行政']",['文字起こし']
coffee_break_parts_similar200404_008,地場銀行,千葉銀行,地域名と一般名詞の混同に注意,地域金融の話題で、地名と一般名詞が混同された。,True,coffee_break_parts_similar200404,N/A,不明,速記者,日本語,"['聞き間違い', '金融', 'ビジネス']",['文字起こし']
coffee_break_parts_similar200404_009,見込めないか,認めないか,動詞の違いに注意,「みこめ」と「みとめ」の発音が似ている。,True,coffee_break_parts_similar200404,N/A,不明,速記者,日本語,"['聞き間違い', '行政']",['文字起こし']
coffee_break_parts_similar200404_010,異常通信波,非常通信波,「いじょう」と「ひじょう」の区別に注意,技術用語の混同。,True,coffee_break_parts_similar200404,N/A,不明,速記者,日本語,"['聞き間違い', '技術']",['文字起こし']
coffee_break_parts_similar200404_011,一分減配,一部減配,「いちぶん」と「いちぶ」の違いに注意,金融用語の混同。,True,coffee_break_parts_similar200404,N/A,不明,速記者,日本語,"['聞き間違い', '金融']",['文字起こし']
coffee_break_parts_similar200404_012,過載による事故,火災による事故,「かさい」と「かさい」の発音に注意,技術用語の混同。,True,coffee_break_parts_similar200404,N/A,不明,速記者,日本語,"['聞き間違い', '技術']",['文字起こし']
coffee_break_parts_similar200404_013,株主総会の形骸化,株主総会の弊害化,専門用語の意味を確認,企業会議の文脈での混同。,True,coffee_break_parts_similar200404,N/A,不明,速記者,日本語,"['聞き間違い', 'ビジネス']",['文字起こし']
coffee_break_parts_similar200404_014,日本と韓国は至近地にある,日本と韓国は卑近地にある,地理用語の確認を徹底,地理的な距離と価値観の混同。,True,coffee_break_parts_similar200404,N/A,不明,速記者,日本語,"['聞き間違い', '行政']",['文字起こし']
coffee_break_parts_similar200404_015,巡航ミサイル,人工ミサイル,軍事用語の確認を徹底,軍事用語の混同。,True,coffee_break_parts_similar200404,N/A,不明,速記者,日本語,"['聞き間違い', '技術']",['文字起こし']
coffee_break_parts_similar200404_016,大産業,概算量,業界用語の確認を徹底,発音が似ているため混同。,True,coffee_break_parts_similar200404,N/A,不明,速記者,日本語,"['聞き間違い', 'ビジネス']",['文字起こし']
coffee_break_parts_similar200404_017,可及的速やか,波及的速やか,「かきゅう」と「はきゅう」の違いに注意,法律・行政用語の混同。,True,coffee_break_parts_similar200404,N/A,不明,速記者,日本語,"['聞き間違い', '行政']",['文字起こし']
coffee_break_parts_similar200404_018,フレーズ,フェーズ,カタカナ語の発音に注意,外来語の混同。,True,coffee_break_parts_similar200404,N/A,不明,速記者,日本語,['聞き間違い'],['文字起こし']
coffee_break_parts_similar200404_019,半製品,完成品,製造業用語の確認を徹底,製造業の文脈での混同。,True,coffee_break_parts_similar200404,N/A,不明,速記者,日本語,"['聞き間違い', 'ビジネス']",['文字起こし']
coffee_break_parts_similar200404_020,実証する,立証する,法律用語の違いに注意,法律用語の混同。,True,coffee_break_parts_similar200404,N/A,不明,速記者,日本語,"['聞き間違い', '行政']",['文字起こし']
