MishearID,Src,Tgt,Tips,Note,OriginalFlag,DocID,SpeakerID,ListenerID,Language,Tags,Envs
coffee_break_parts_similar200406_001,遺漏のない考え方で取り組む,色のない考え方で取り組む,「いろう」と「いろ」の音が似ているため注意。,発言者が「遺漏のない」と述べたが、速記者が「色のない」と誤記録。専門用語の聞き取りミス。会議や議論の場で発生。,True,coffee_break_parts_similar200406,不明,速記者,日本語,"['議事録', '速記', '聞き間違い', '日本語', 'ビジネス', '行政', '専門用語']",['文字起こし']
coffee_break_parts_similar200406_002,見栄や外聞で反対することではない,耳や外聞で反対することではない,「みえ」と「みみ」の聞き間違いに注意。,発言者が「見栄や外聞で」と述べたが、速記者が「耳や外聞で」と誤記録。語頭音の類似によるミス。,True,coffee_break_parts_similar200406,不明,速記者,日本語,"['議事録', '速記', '聞き間違い', '日本語', 'ビジネス', '行政', '専門用語']",['文字起こし']
coffee_break_parts_similar200406_003,法令に基づいて行う,法例に基づいて行う,法律用語の漢字に注意。,「法令」と「法例」は意味が異なるが、音が似ているため速記者が誤記録。法分野の専門用語で発生しやすい。,True,coffee_break_parts_similar200406,不明,速記者,日本語,"['法律', '議事録', '速記', '聞き間違い', '日本語', '行政', '専門用語']",['文字起こし']
coffee_break_parts_similar200406_004,原課要求の段階から,現下要求の段階から,行政用語の聞き間違いに注意。,「原課要求」と「現下要求」は意味が異なるが、音が似ているため速記者が誤記録。行政文書や会議で発生。,True,coffee_break_parts_similar200406,不明,速記者,日本語,"['行政', '議事録', '速記', '聞き間違い', '日本語', 'ビジネス', '専門用語']",['文字起こし']
coffee_break_parts_similar200406_005,設計監理システムの費用と内容は,設計管理システムの費用と内容は,「監理」と「管理」の違いに注意。,建築や工事分野で「設計監理」と「設計管理」は異なる意味だが、音が似ているため速記者が誤記録。,True,coffee_break_parts_similar200406,不明,速記者,日本語,"['ビジネス', '議事録', '速記', '聞き間違い', '日本語', '専門用語']",['文字起こし']
coffee_break_parts_similar200406_006,新しい産業を興す,新しい産業を起こす,「興す」と「起こす」は意味が異なるが同音。,「興す」は新たに始める意、「起こす」は一般的な動作。意味の違いに注意。速記現場での同音異義語の誤記録。,True,coffee_break_parts_similar200406,不明,速記者,日本語,"['ビジネス', '議事録', '速記', '聞き間違い', '日本語', '専門用語']",['文字起こし']
coffee_break_parts_similar200406_007,我が国の驚異的な復興の軌跡（経過・足どり）は,我が国の驚異的な復興の奇跡は,「軌跡」と「奇跡」の同音異義語に注意。,「軌跡」は経過や足どり、「奇跡」はmiracle。意味が大きく異なるため、文脈で判断が必要。,True,coffee_break_parts_similar200406,不明,速記者,日本語,"['議事録', '速記', '聞き間違い', '日本語', 'ビジネス', '行政', '専門用語']",['文字起こし']
coffee_break_parts_similar200406_008,政令を公布する,政令を交付する,法令用語の違いに注意。,「公布」は法令を広く知らせること、「交付」は渡すこと。法令分野での専門用語の誤認。,True,coffee_break_parts_similar200406,不明,速記者,日本語,"['法律', '議事録', '速記', '聞き間違い', '日本語', '行政', '専門用語']",['文字起こし']
coffee_break_parts_similar200406_009,それと軌を一を一にして,それと機（期・基）を一にして,「軌」と「機（期・基）」の同音異義語に注意。,「軌を一にする」は「同じ方向・方針で進む」意。文脈で判断が必要。速記現場での同音異義語の誤記録。,True,coffee_break_parts_similar200406,不明,速記者,日本語,"['議事録', '速記', '聞き間違い', '日本語', 'ビジネス', '行政', '専門用語']",['文字起こし']
coffee_break_parts_similar200406_010,ほかに代替可能なところにかわってもらって,ほかに大体可能なところにかわってもらって,「だいたい」と「だいたい」の音の違いに注意。,「代替可能」は「代わりができる」、「大体可能」は意味不明。音の類似による誤記録。,True,coffee_break_parts_similar200406,不明,速記者,日本語,"['議事録', '速記', '聞き間違い', '日本語', 'ビジネス', '行政', '専門用語']",['文字起こし']
